#Latest: Time (s),#Latest: Temperature (°C),#Latest: Potential (V)
2019.5,42.65515014,3.998184204
2020,42.66659428,4.211044312
2020.5,42.67313459,4.36630249
2021,42.67313459,4.524993896
2021.5,42.68458154,4.619598389
2022,42.70257321,4.744529724
2022.5,42.7058449,4.85458374
2023,42.70911673,4.964828491
2023.5,42.70911673,5.005264282
2024,42.7058449,5.005455017
2024.5,42.70911673,5.005836487
2025,42.69766595,5.006217957
2025.5,42.68785243,5.006599426
2026,42.68294615,5.00125885
2026.5,42.67967549,4.999542236
2027,42.66659428,4.949760437
2027.5,42.65841971,4.78553772
2028,42.65515014,4.729270935
2028.5,42.65188071,4.624176025
2029,42.64043886,4.504394531
2029.5,42.63390146,4.35295105
2030,42.63063298,4.144859314
2030.5,42.62573053,4.010009766
2031,42.60939138,3.799629211
2031.5,42.59795614,3.601646423
2032,42.59468925,3.456306458
2032.5,42.58652267,3.257369995
2033,42.5718251,3.075218201
2033.5,42.56529378,2.837753296
2034,42.56529378,2.664756775
2034.5,42.5718251,2.548027039
2035,42.55876305,2.331542969
2035.5,42.56202834,2.200889587
2036,42.55876305,2.108001709
2036.5,42.56529378,2.039337158
2037,42.5718251,1.957130432
2037.5,42.56529378,1.880073547
2038,42.56529378,1.811408997
2038.5,42.5718251,1.759147644
2039,42.56529378,1.727676392
2039.5,42.56855937,1.721382141
2040,42.56529378,1.735687256
2040.5,42.5554979,1.777076721
2041,42.55060044,1.86214447
2041.5,42.54407101,1.92565918
2042,42.5408065,2.020835876
2042.5,42.53264588,2.143096924
2043,42.53754215,2.29511261
2043.5,42.52938189,2.471923828
2044,42.52285432,2.695846558
2044.5,42.51143248,2.854537964
2045,42.5000124,3.064346313
2045.5,42.50164373,3.20892334
2046,42.49022516,3.400611877
2046.5,42.48696303,3.566551209
2047,42.47880835,3.758239746
2047.5,42.48207011,4.057693481
2048,42.46902391,4.193305969
2048.5,42.46576271,4.344558716
2049,42.46087119,4.598236084
2049.5,42.45108912,4.770851135
2050,42.45108912,4.89025116
2050.5,42.43967833,4.974746704
2051,42.43641843,5.005264282
2051.5,42.43315867,5.006599426
2052,42.43315867,5.006599426
2052.5,42.43315867,5.005455017
2053,42.42989905,5.006980896
2053.5,42.4282693,5.004501343
2054,42.42500989,5.006599426
2054.5,42.42500989,4.996109009
2055,42.41034435,4.905700684
2055.5,42.41849152,4.800987244
2056,42.41034435,4.744148254
2056.5,42.41197371,4.685783386
2057,42.41034435,4.542160034
2057.5,42.39731074,4.371452332
2058,42.39731074,4.171562195
2058.5,42.3859082,3.915786743
2059,42.3859082,3.736495972
2059.5,42.37613599,3.541755676
2060,42.37450741,3.359222412
2060.5,42.3647367,3.097915649
2061,42.3582236,2.952575684
2061.5,42.35008302,2.803993225
2062,42.34682704,2.699661255
2062.5,42.34682704,2.547645569
2063,42.33543222,2.426528931
2063.5,42.33543222,2.311897278
2064,42.32892168,2.175331116
2064.5,42.3207843,2.051925659
2065,42.32566662,1.937484741
2065.5,42.31915693,1.839828491
2066,42.3175296,1.775741577
2066.5,42.3175296,1.742744446
2067,42.30776634,1.725196838
2067.5,42.31427504,1.728057861
2068,42.29963126,1.747512817
2068.5,42.29637748,1.792144775
2069,42.31427504,1.852989197
2069.5,42.3045122,1.926231384
2070,42.3045122,2.014541626
2070.5,42.31427504,2.129364014
2071,42.30776634,2.258682251
2071.5,42.30776634,2.404785156
2072,42.30776634,2.549171448
2072.5,42.3045122,2.655982971
2073,42.29637748,2.835845947
2073.5,42.29312384,3.040885925
2074,42.28987034,3.265380859
2074.5,42.2784842,3.466796875
2075,42.2784842,3.666496277
2075.5,42.27197862,3.87096405
2076,42.2605952,4.076957703
2076.5,42.26384743,4.26158905
2077,42.25734312,4.414558411
2077.5,42.24921352,4.538536072
2078,42.23945916,4.662704468
2078.5,42.2313315,4.787254334
2079,42.22483001,4.881858826
2079.5,42.2069538,4.970932007
2080,42.19720493,5.005455017
