#Latest:Time(s),#Latest:Temperature(°C),#Latest:Potential(V)
867.6,39.55002277,1.792526245
868,39.52329715,1.742172241
868.4,39.49815107,1.732635498
868.8,39.49815107,1.745223999
869.2,39.47144125,1.779937744
869.6,39.41961592,1.833534241
870,39.39449945,2.003860474
870.4,39.39449945,1.858711243
870.8,39.34271925,1.953315735
871.2,39.31605641,2.183532715
871.6,39.31605641,2.445220947
872,39.29096928,2.568054199
872.4,39.29096928,2.826499939
872.8,39.26432196,2.848625183
873.2,39.23924941,3.085136414
873.6,39.18755949,3.413009644
874,39.13589939,3.624153137
874.4,39.05768302,3.873252869
874.8,39.0326681,4.103279114
875.2,39.00609732,4.188537598
875.6,38.98109664,4.270362854
876,38.95454096,4.516220093
876.4,38.90301381,4.632949829
876.8,38.90301381,4.765319824
877.2,38.85307586,4.900932312
877.6,38.8265574,4.982948303
878,38.8265574,5.008125305
878.4,38.90301381,5.008125305
878.8,38.87804142,5.001831055
879.2,38.90301381,5.001831055
879.6,38.92955446,4.982948303
880,38.92955446,4.885101318
880.4,38.95454096,4.74319458
880.8,38.98109664,4.699134827
881.2,39.0326681,4.554176331
881.6,39.05768302,4.358673096
882,39.08426897,4.264068604
882.4,39.08426897,4.141235352
882.8,39.08426897,3.964614868
883.2,39.05768302,3.781700134
883.6,39.0326681,3.598976135
884,39.0326681,3.349876404
884.4,39.05768302,3.23638916
884.8,39.1092982,2.914810181
885.2,39.16094299,2.782440186
885.6,39.18755949,2.590179443
886,39.23924941,2.388381958
886.4,39.26432196,2.233886719
886.8,39.29096928,2.038383484
887.2,39.31605641,1.921844482
887.6,39.31605641,1.871299744
888,39.31605641,1.861953735
888.4,39.31605641,1.786231995
888.8,39.26432196,1.761054993
889.2,39.29096928,1.773643494
889.6,39.26432196,1.802062988
890,39.23924941,1.843070984
890.4,39.16094299,1.915550232
890.8,39.08426897,2.016448975
891.2,39.0326681,2.05116272
891.6,38.95454096,2.293777466
892,38.90301381,2.48298645
892.4,38.87804142,2.605819702
892.8,38.87804142,2.681541443
893.2,38.87804142,2.974700928
893.6,38.87804142,3.110313416
894,38.85307586,3.529548645
894.4,38.85307586,3.721809387
894.8,38.85307586,3.911018372
895.2,38.85307586,3.974151611
895.6,38.87804142,4.166412354
896,38.87804142,4.346084595
896.4,38.87804142,4.305076599
896.8,38.87804142,4.673957825
897.2,38.90301381,4.768562317
897.6,38.90301381,4.885101318
898,38.92955446,4.888343811
898.4,38.92955446,4.954528809
898.8,38.95454096,4.96711731
899.2,38.98109664,5.004882813
899.6,38.98109664,4.989242554
900,39.00609732,4.944992065
900.4,39.0326681,4.853630066
900.8,39.05768302,4.856681824
901.2,39.05768302,4.696083069
901.6,39.05768302,4.655075073
902,39.05768302,4.516220093
902.4,39.05768302,4.4090271
902.8,39.1092982,4.062271118
903.2,39.16094299,4.103279114
903.6,39.23924941,3.901481628
904,39.29096928,3.750228882
904.4,39.31605641,3.419303894
904.8,39.34271925,3.122901917
905.2,39.34271925,3.07559967
